Course_ID,Course_Number,Title,Description,Credits,Tier,Counts_For,Track_Journalism_Pct,Track_Production_Pct,Track_Strategic_Pct,Advertising and Promotions Managers,Marketing Managers,Public Relations Managers,Fundraising Managers,Market Research Analysts and Marketing Specialists,Search Marketing Strategists,Art Directors,Special Effects Artists and Animators,Producers and Directors,Media Programming Directors,Media Technical Directors/Managers,"News Analysts, Reporters, and Journalists",Public Relations Specialists,Editors,Audio and Video Technicians,Sound Engineering Technicians,"Camera Operators, Television, Video, and Film",Film and Video Editors,Advertising Sales Agents
MC342,MC 342,Digital Imagery,"Capturing, editing, and presenting digital images for media applications.",3,intermediate_core,journalism|production|strategic,30,40,30,14.0,14.0,14.0,14.0,14.0,14.0,42.0,42.0,42.0,42.0,42.0,14.0,14.0,14.0,42.0,42.0,42.0,14.0,14.0
MC351,MC 351,Women in Mass Communications,Exploration of women's relationship to media.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC353,MC 353,History of Mass Media,Development of American mass media.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC389,MC 389,Media Planning,"Basic principles of media planning, buying, and strategy for advertising campaigns.",3,track_required,strategic,10,10,80,86.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,7.0,7.0,7.0,7.0,86.0
MC401,MC 401,Media Law and Policy,U.S. Constitution and federal and state law related to mass media.,3,advanced_core,all,40,20,40,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC402,MC 402,Media Management,Focus on product development and project management in media industries.,3,track_elective,production|strategic,20,30,50,35.0,35.0,35.0,35.0,35.0,35.0,17.5,17.5,17.5,17.5,17.5,17.5,35.0,17.5,17.5,17.5,17.5,17.5,35.0
MC403,MC 403,Cultural Studies in Media,Use of critical theory to examine media's impact on society and culture.,3,advanced_core,all,34,33,33,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC421,MC 421,Advertising Campaigns,Creation and production of advertising campaigns using a mix of media.,3,track_elective,strategic,10,20,70,86.0,86.0,86.0,86.0,86.0,86.0,10.5,10.5,10.5,10.5,10.5,3.5,86.0,3.5,10.5,10.5,10.5,3.5,86.0
MC422,MC 422,Strategic Media Writing,"Analyzing and creating strategic communication materials for PR, marketing, and organizational contexts.",3,track_required,strategic,20,10,70,79.0,79.0,79.0,79.0,79.0,79.0,14.0,14.0,14.0,14.0,14.0,7.0,79.0,7.0,14.0,14.0,14.0,7.0,79.0
MC423A,MC 423A,Advanced Topics in Writing for Media: Dramatic Writing,Advanced theory and practice of writing for print and visual media.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC423B,MC 423B,Advanced Topics in Writing for Media: Other Topics,Advanced theory and practice of writing for print and visual media.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC424,MC 424,Literary Journalism,Students develop skills in literary non-fiction writing.,3,track_elective,journalism,80,10,10,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,63.0,3.5,63.0,3.5,3.5,3.5,63.0,3.5
MC427,MC 427,Social Media Analytics,"Focuses on the use of analytics, including AI-powered tools, to evaluate and improve social media performance. Students collect, analyze, and interpret data from multiple platforms using machine learning for pattern recognition and predictive analytics. Part of the AI Social Media Strategist Certificate.",3,track_elective,strategic,,,,,,,,,,,,,,,,,,,,,,
MC431,MC 431,Freelance Media Production,Advanced production techniques for corporate and non-profit videos.,3,track_elective,production|strategic,10,80,10,7.0,7.0,7.0,7.0,7.0,7.0,56.0,56.0,56.0,56.0,56.0,7.0,7.0,7.0,56.0,56.0,56.0,7.0,7.0
MC433,MC 433,Advanced Video Directing and Producing,Advanced theory and practice in television directing and producing.,3,track_elective,production,10,80,10,3.5,3.5,3.5,3.5,3.5,3.5,59.5,59.5,59.5,59.5,59.5,7.0,3.5,7.0,59.5,59.5,59.5,7.0,3.5
MC435,MC 435,Media Post-Production,"Theory and practice of post-production including video editing, color correction, and sound design.",3,track_elective,production,10,80,10,3.5,3.5,3.5,3.5,3.5,3.5,89.5,89.5,89.5,89.5,89.5,7.0,3.5,7.0,100.0,89.5,100.0,27.0,3.5
MC440,MC 440,Visual Media Analysis,Analysis of still and moving images for artistic and communicative purposes.,3,track_elective,production|strategic,30,30,40,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC441,MC 441,Advanced Writing and Designing for Digital Media,Provides a comprehensive overview of both writing and designing for digital media.,3,track_elective,production|strategic,30,30,40,21.0,21.0,21.0,21.0,21.0,21.0,28.0,28.0,28.0,28.0,28.0,21.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0
MC442,MC 442,Special Studies in Visual Communications,Special independent study in visual communications combining theory and practice.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC443,MC 443,Narrative Media Production,Write and produce short narrative films and web series.,3,track_elective,production,10,80,10,3.5,3.5,3.5,3.5,3.5,3.5,89.5,89.5,89.5,89.5,89.5,7.0,3.5,7.0,89.5,89.5,100.0,27.0,3.5
MC447,MC 447,Photojournalism,Students learn to explore their communities with cameras.,3,track_elective,journalism,60,30,10,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,86.0,7.0,7.0,7.0,86.0,7.0
MC449,MC 449,Media Psychology,Media's short term and long term psychological effects on individuals and society.,3,track_elective,strategic,30,10,60,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC451,MC 451,Research Methods in Mass Media,Examination of traditional and emerging concepts of research in mass communications.,3,advanced_core,all,34,33,33,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC452,MC 452,New Media and Technology,Technological changes in the mass media.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC453,MC 453,Transnational Media,"Focus on media ownership, regulation, and cultural impact across national borders.",3,track_elective,journalism|strategic,40,20,40,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC454,MC 454,Documentary Media Production,Evolution of documentary filmmaking; emphasis on student production of original documentary films.,3,track_elective,production,30,60,10,7.0,7.0,7.0,7.0,7.0,7.0,49.0,49.0,49.0,49.0,49.0,14.0,7.0,14.0,49.0,49.0,69.0,34.0,7.0
MC455,MC 455,Media Ethics,"Critical examination and analysis of values, principles, and ethical decision-making in mass media.",3,advanced_core,production|strategic,34,33,33,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC456,MC 456,Identity and Emerging Media,Students explore how people construct identities on various emerging media.,3,elective,production,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC471,MC 471,Special Topics in Mass Media,Special and advanced topics in the mass media.,3,elective,journalism|strategic,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC472,MC 472,Mass Media and Health,Focuses on media literacy in the area of health.,3,elective,journalism,,,,28.0,28.0,28.0,28.0,28.0,28.0,14.0,14.0,14.0,14.0,14.0,28.0,28.0,28.0,14.0,14.0,14.0,28.0,28.0
MC475,MC 475,Advanced Mobile Media Design,Designing advanced mobile-based interactive multimedia applications.,3,elective,elective,,,,14.0,14.0,14.0,14.0,14.0,14.0,42.0,42.0,42.0,42.0,42.0,14.0,14.0,14.0,42.0,42.0,42.0,14.0,14.0
MC478,MC 478,International Advertising,Issues that affect advertising and communications in a global marketplace.,3,track_elective,strategic,10,10,80,86.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,7.0,7.0,7.0,7.0,86.0
MC481,MC 481,Internship/Senior Portfolio,Experience with professional media under joint supervision. Includes senior portfolio requirement.,3,advanced_core,all,34,33,33,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC482,MC 482,Internship,Experience with professional media under joint supervision.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC491,MC 491,Advanced Practices,Independent study in areas where student has completed all formal course work.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC495,MC 495,Readings in Mass Media,Selected readings in depth with member of faculty.,3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC499,MC 499,Independent Study,"Special projects, research, and independent study.",3,elective,elective,,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
